FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SS 2015","Al Murabba","Hyundai Samho","N/A","UASC","Republic of Korea","","368,52m","","9708837","153148","4","194,967gt (at scantling draught)","HYUNDAI-MAN B&W","9S90ME-C10,2"
"SS 2015","Aranui 5","Huanghai Shipbuilding","HHI-EMD","Companie Polynesienne de","China","1 March 2015","126,08m","","9677492","11468","","10,488gtonnes","Caterpillar","8M32C"
"SS 2015","Asphalt Splendor","Avic-Dingheng","Shanghai Goodway","Sargeant Marine Inc","China","October 2015","179,90m","","9763332","26119","0","48,385tonnes (scantling)","Wärtsilä","5RT-flex50D, Tier II"
"SS 2015","Atlantic Star","Hudong-Zhonghua Shipbuilding (Group) Co, Ltd, China","Nanjing High","Atlantic Container Line AB","Denmark","15 December 2015","296m","","9670573","100430","0","","Wärtsilä","2-stroke 8RT-flex68-D"
"SS 2015","Barzan","Hyundai Samho","Wärtsilä Propulsion","UASC","Republic of Korea","27 October 2015","400m","","9708851","195636","3","257,947gt (at scantling draught)","HYUNDAI-MAN B&W","10S90ME-C10,2"
"SS 2015","Cielo d’Italia","Sanoyas Shipbuilding","HHI-EMD","d’Amico Dry Limited","Japan","8 May 2015","245m","","9539274","63087","0","","Mitsui Engineering & Shipbuilding Co,Ltd","MAN B&W 6G60ME-C9,2"
"SS 2015","CMA CGM Arkansas","Samsung Heavy Industries","Nakashima","BCLC / CMA CGM","Korea","3 February 2015","Approx, 299m","","9722651","94000","2","","Man Diesel & Turbo","8S90ME-C9,2"
"SS 2015","CMA CGM Kerguelen","Samsung Heavy Industries","SHI / MMG","CMA CGM","Korea","July 30 2015","Approx, 398m","","9702132","175000","2","","MAN Diesel & Turbo","11S90ME-C9,2"
"SS 2015","D&K Abdul Razzak","STX Offshore & Shipbuilding Co,Ltd","SHI / MMG","D&K Holdings LLC","Republic of Korea","March 31 2015","Appx, 182,9m","","9700213","29554","Nil","","","STX-MAN B&W 6G50ME-B9,3"
"SS 2015","Dole Pacific","Hyundai Mipo Dockyard Ltd","Silla Metal","Dole Food Company Inc","Korea","22 September 2015","189,98m","","9703057","","0","","Hyundai-MAN B&W","8L70ME-C8,2 (Tier II)"
"SS 2015","Eagle Barents","Samsung Heavy","Hyundai Heavy","AET Sea Shuttle","Republic of Korea","10 November 2015","Approx, 273m","","9676125","88000","1","","2 stroke, diesel engine","6G50ME-B9,3"
"SS 2015","ENSCO DS-8","Vard Langsten","Rolls-Royce","Farstad Construction AS","Norway","July 2015","142,6m","","9687356","15008","829","19,061tonnes / 8m","Rolls-Royce Marine AS",""
"SS 2015","Gas Taurus","Jiangnan Shipyard (Group) Co,Ltd","Rolls-Royce Marine","Southwest Maritime Limited","China","26 March 2015","226m","","9710385","46789","None","73,415","MAN B&W","6S60ME-C8,2"
"SS 2015","Hidaka","Mitsubishi Heavy Industries Ltd (design), Kanda Shipbuilding","Zhenjiang","Kinkai Yusen Kaisha","Japan","","179,9m","","9726138","11185","2","","MAN B&W","9S50ME-C8,2"
"SS 2015","Isaac Newton","Uljanik Brodogradilište, Croatia","Kamome Propeller","Sofidra","Luxembourg","28 January, 2015","138m","","9707297","16255","","21,850tonnes","","9L 37-38"
"SS 2015","Isla Bella","General Dynamics NASSCO, San Diego California","Schottel","TOTE Shipholdings/Operator: ,,,,,,,TOTE","Busan, South Korea","27 November 2015","233m","","9680841","36751","","48,530,7mt","-","MAN D&T 8L70ME-C8,2GI"
"SS 2015","Jolly Cobalto","STX Offshore & Shipbuilding Co, Ltd","Daewoo","Messina","Republic of Korea","16 October 2015","240m","","9668960","51060","","","MAN Diesel & Turbo","7L70ME-C 8,2"
